ID	Description	GeneRatio	BgRatio	enrichment	pvalue	p.adjust	qvalue	geneID	Count
GO:0000082	G1/S transition of mitotic cell cycle	8/45	287/18866	11.6862562911343	3.44211468245199e-07	2.02847379045188e-05	1.41682687836681e-05	BTG2/ANXA1/RGCC/MDM2/GADD45A/PLK3/TRIAP1/BID	8
GO:0044843	cell cycle G1/S phase transition	8/45	310/18866	10.819211469534	6.1702082319458e-07	3.40157608657915e-05	2.37589682004297e-05	BTG2/ANXA1/RGCC/MDM2/GADD45A/PLK3/TRIAP1/BID	8
GO:0071496	cellular response to external stimulus	8/45	326/18866	10.2882072256305	9.01324277339594e-07	4.24733155344013e-05	2.96663113646091e-05	PTGS2/MDM2/GADD45A/SESN1/ATF3/PMAIP1/ULK1/HSPA8	8
GO:0009314	response to radiation	9/45	447/18866	8.44116331096197	9.02649007640954e-07	4.24733155344013e-05	2.96663113646091e-05	ANXA1/DUSP1/PTGS2/MDM2/GADD45A/PLK3/TRIAP1/AEN/TP53INP1	9
GO:0009896	positive regulation of catabolic process	9/45	454/18866	8.31101321585903	1.02684184324435e-06	4.61808607922262e-05	3.22559182891716e-05	BTG2/TRIM22/MDM2/PLK3/SESN1/TP53INP1/HTT/LDLR/ULK1	9
GO:0006979	response to oxidative stress	9/45	458/18866	8.23842794759825	1.10425075574072e-06	4.83888343989973e-05	3.37981202971654e-05	ANXA1/DUSP1/PTGS2/LONP1/SOD2/MDM2/PLK3/SESN1/TP53INP1	9
GO:2000116	regulation of cysteine-type endopeptidase activity	7/45	239/18866	12.2791259879126	1.44440054257817e-06	5.74065238899091e-05	4.00967004965396e-05	CYFIP2/PYCARD/PTGS2/MDM2/TRIAP1/PMAIP1/BID	7
GO:0008637	apoptotic mitochondrial changes	5/45	125/18866	16.7697777777778	1.16425163358759e-05	0.000355304650321641	0.00024816942715946	PYCARD/SOD2/TRIAP1/PMAIP1/BID	5
GO:0031669	cellular response to nutrient levels	6/45	221/18866	11.3822021116139	1.34275874744804e-05	0.000402592052524334	0.000281198230767512	MDM2/SESN1/ATF3/PMAIP1/ULK1/HSPA8	6
GO:0031667	response to nutrient levels	8/45	473/18866	7.09081512802443	1.40370538805366e-05	0.00041360905313512	0.000288893268612132	PTGS2/MDM2/SESN1/ATF3/PMAIP1/LDLR/ULK1/HSPA8	8
GO:0000302	response to reactive oxygen species	6/45	235/18866	10.7041134751773	1.90121960702111e-05	0.000541530718066512	0.000378242637607357	ANXA1/DUSP1/SOD2/MDM2/PLK3/SESN1	6
GO:0034644	cellular response to UV	4/45	81/18866	20.7034293552812	4.10913274346641e-05	0.00106401634220971	0.000743182859823112	PTGS2/MDM2/TRIAP1/TP53INP1	4
GO:0001516	prostaglandin biosynthetic process	3/45	30/18866	41.9244444444444	4.92163105855998e-05	0.00123692168809985	0.000863951953623377	ANXA1/PTGS2/TBXAS1	3
GO:0046457	prostanoid biosynthetic process	3/45	30/18866	41.9244444444444	4.92163105855998e-05	0.00123692168809985	0.000863951953623377	ANXA1/PTGS2/TBXAS1	3
GO:0090316	positive regulation of intracellular protein transport	5/45	182/18866	11.5177045177045	7.06672775046594e-05	0.00172529110364947	0.00120506304797419	PTGS2/MDM2/PLK3/PMAIP1/BID	5
GO:0010821	regulation of mitochondrion organization	5/45	191/18866	10.9749854566608	8.87700819945913e-05	0.00207819274148982	0.00145155404443932	PYCARD/TRIAP1/PMAIP1/BID/HTT	5
GO:0098869	cellular oxidant detoxification	4/45	103/18866	16.2813376483279	0.000105105873226286	0.00239501249791631	0.00167284295071732	PTGS2/SOD2/SESN1/TP53INP1	4
GO:0071456	cellular response to hypoxia	5/45	208/18866	10.0779914529915	0.000132514467623673	0.0029034259637033	0.00202795420088051	PTGS2/RGCC/MDM2/PLK3/PMAIP1	5
GO:0009615	response to virus	6/45	349/18866	7.20764087870105	0.00017011815966398	0.00354551140080173	0.00247643123310594	TRIM22/IRF5/PYCARD/ODC1/PMAIP1/IRF9	6
GO:0032388	positive regulation of intracellular transport	5/45	222/18866	9.44244244244244	0.000179601448580433	0.00369442344999153	0.0025804417432727	PTGS2/MDM2/PLK3/PMAIP1/BID	5
GO:0051222	positive regulation of protein transport	6/45	354/18866	7.10583804143126	0.000183748386921755	0.00369442344999153	0.0025804417432727	PTGS2/RGCC/MDM2/PLK3/PMAIP1/BID	6
GO:0001666	response to hypoxia	6/45	359/18866	7.00687093779016	0.000198229821276153	0.00392361977911083	0.00274052836654965	PTGS2/RGCC/LONP1/MDM2/PLK3/PMAIP1	6
GO:0062197	cellular response to chemical stress	6/45	360/18866	6.98740740740741	0.000201231560709185	0.00392361977911083	0.00274052836654965	ANXA1/PTGS2/LONP1/SOD2/MDM2/TP53INP1	6
GO:0006692	prostanoid metabolic process	3/45	49/18866	25.6680272108844	0.000216376797778008	0.004019434210898	0.00280745181556363	ANXA1/PTGS2/TBXAS1	3
GO:0006693	prostaglandin metabolic process	3/45	49/18866	25.6680272108844	0.000216376797778008	0.004019434210898	0.00280745181556363	ANXA1/PTGS2/TBXAS1	3
GO:0031648	protein destabilization	3/45	50/18866	25.1546666666667	0.000229804930234458	0.0041637350941786	0.0029082415674285	MDM2/HTT/SIAH1	3
GO:0045862	positive regulation of proteolysis	6/45	370/18866	6.79855855855856	0.000233272765157342	0.0041637350941786	0.0029082415674285	CYFIP2/PYCARD/MDM2/PLK3/PMAIP1/BID	6
GO:1904951	positive regulation of establishment of protein localization	6/45	370/18866	6.79855855855856	0.000233272765157342	0.0041637350941786	0.0029082415674285	PTGS2/RGCC/MDM2/PLK3/PMAIP1/BID	6
GO:0090269	fibroblast growth factor production	2/45	11/18866	76.2262626262626	0.000301821748501494	0.00510706305137676	0.00356712728296711	PTGS2/RGCC	2
GO:0090270	regulation of fibroblast growth factor production	2/45	11/18866	76.2262626262626	0.000301821748501494	0.00510706305137676	0.00356712728296711	PTGS2/RGCC	2
GO:0009636	response to toxic substance	5/45	250/18866	8.38488888888889	0.000311168285475686	0.00521359411645046	0.00364153597243991	PTGS2/SOD2/MDM2/SESN1/TP53INP1	5
GO:0051607	defense response to virus	5/45	258/18866	8.12489233419466	0.000359588834530888	0.00577604385535639	0.00403438990605411	TRIM22/IRF5/PYCARD/PMAIP1/IRF9	5
GO:0071901	negative regulation of protein serine/threonine kinase activity	4/45	148/18866	11.3309309309309	0.000421969479794614	0.00638182160149554	0.00445750712703393	DUSP1/PYCARD/GADD45A/DUSP2	4
GO:0090677	reversible differentiation	2/45	13/18866	64.4991452991453	0.000426740030938373	0.00639735713047087	0.00446835821868988	SOD2/DNMT1	2
GO:0045834	positive regulation of lipid metabolic process	4/45	153/18866	10.960639070443	0.000478434307590556	0.00698841223651504	0.00488119212602511	DGKZ/ANXA1/PTGS2/LDLR	4
GO:1900239	regulation of phenotypic switching	2/45	14/18866	59.8920634920635	0.000497108048063172	0.00713913995075597	0.00498647082267702	SOD2/DNMT1	2
GO:0072593	reactive oxygen species metabolic process	5/45	288/18866	7.27854938271605	0.000593541140171266	0.00824684397197312	0.00576016818959534	PTGS2/SOD2/GADD45A/SESN1/PMAIP1	5
GO:1901342	regulation of vasculature development	6/45	444/18866	5.66546546546547	0.000614850285766934	0.00840623310700552	0.00587149662366066	ANXA1/PTGS2/RGCC/SOD2/DNMT1/GADD45A	6
GO:0043535	regulation of blood vessel endothelial cell migration	4/45	164/18866	10.2254742547425	0.000621322727377792	0.00842730588165592	0.00588621531200013	ANXA1/PTGS2/RGCC/GADD45A	4
GO:0009408	response to heat	4/45	166/18866	10.1022757697456	0.000650225991530091	0.00872578046612758	0.00609469067696632	PTGS2/TP53INP1/IER5/HSPA8	4
GO:0061684	chaperone-mediated autophagy	2/45	16/18866	52.4055555555556	0.000653540023209087	0.00872578046612758	0.00609469067696632	PLK3/HSPA8	2
GO:0062012	regulation of small molecule metabolic process	6/45	456/18866	5.51637426900585	0.00070694049368853	0.00929354849010537	0.00649125926998213	ANXA1/PTGS2/ODC1/PMAIP1/FDPS/LDLR	6
GO:0048660	regulation of smooth muscle cell proliferation	4/45	173/18866	9.69351316634554	0.000758921861586247	0.00967908553321564	0.00676054509849807	PTGS2/SOD2/DNMT1/MDM2	4
GO:0048659	smooth muscle cell proliferation	4/45	175/18866	9.58273015873016	0.000792201666660368	0.0100286862838709	0.0070047305262601	PTGS2/SOD2/DNMT1/MDM2	4
GO:0016236	macroautophagy	5/45	310/18866	6.76200716845878	0.000827032508938467	0.0102138994617499	0.0071340962641276	SESN1/TP53INP1/PRKAB1/HTT/ULK1	5
GO:1990000	amyloid fibril formation	2/45	18/18866	46.5827160493827	0.000830738458269884	0.0102138994617499	0.0071340962641276	MDM2/LDLR	2
GO:1905288	vascular associated smooth muscle cell apoptotic process	2/45	19/18866	44.1309941520468	0.000927064855273834	0.0111574213919928	0.0077931174639031	SOD2/DNMT1	2
GO:1905459	regulation of vascular associated smooth muscle cell apoptotic process	2/45	19/18866	44.1309941520468	0.000927064855273834	0.0111574213919928	0.0077931174639031	SOD2/DNMT1	2
GO:2001021	negative regulation of response to DNA damage stimulus	3/45	83/18866	15.1534136546185	0.00101972551826689	0.0121021591022091	0.0084529878487913	MDM2/TRIAP1/BID	3
GO:0043534	blood vessel endothelial cell migration	4/45	189/18866	8.87289829512052	0.00105469305952484	0.0124308306119169	0.00868255484211375	ANXA1/PTGS2/RGCC/GADD45A	4
GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	3/45	85/18866	14.796862745098	0.00109254491526363	0.0127887620560654	0.00893255900439049	PTGS2/MDM2/TRIAP1	3
GO:1903829	positive regulation of cellular protein localization	5/45	338/18866	6.20184089414859	0.00121625384654028	0.0135854759721394	0.00948903929808514	PTGS2/MDM2/PLK3/PMAIP1/BID	5
GO:0035970	peptidyl-threonine dephosphorylation	2/45	22/18866	38.1131313131313	0.00124666553950881	0.0137587596174144	0.00961007262243104	DUSP1/DUSP2	2
GO:0060333	interferon-gamma-mediated signaling pathway	3/45	91/18866	13.8212454212454	0.00133047958532351	0.0144827363778209	0.0101157482383966	TRIM22/IRF5/IRF9	3
GO:0009612	response to mechanical stimulus	4/45	209/18866	8.02381711855396	0.00152818841673342	0.0160225399030516	0.0111912538881221	BTG2/PTGS2/GADD45A/HTT	4
GO:1900739	regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	2/45	26/18866	32.2495726495727	0.00174336384659954	0.0177345762728489	0.0123870589100494	PMAIP1/BID	2
GO:1900740	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	2/45	26/18866	32.2495726495727	0.00174336384659954	0.0177345762728489	0.0123870589100494	PMAIP1/BID	2
GO:0090132	epithelium migration	5/45	368/18866	5.69625603864734	0.0017691695779954	0.0178905965017405	0.0124960342662522	ANXA1/PTGS2/RGCC/GADD45A/MAP4K4	5
GO:1902903	regulation of supramolecular fiber organization	5/45	373/18866	5.61989871909443	0.00187675351888646	0.0186500486715657	0.0130264883702723	CYFIP2/PYCARD/RGCC/LDLR/HSPA8	5
GO:1901570	fatty acid derivative biosynthetic process	3/45	103/18866	12.211003236246	0.00189863532245507	0.0186500486715657	0.0130264883702723	ANXA1/PTGS2/TBXAS1	3
GO:1905063	regulation of vascular associated smooth muscle cell differentiation	2/45	28/18866	29.9460317460317	0.00202153110920244	0.0197416952321542	0.013788970092244	SOD2/DNMT1	2
GO:0032872	regulation of stress-activated MAPK cascade	4/45	237/18866	7.07585560243788	0.00241580330569172	0.0229367102745953	0.0160205903430083	DUSP1/PYCARD/GADD45A/MAP4K4	4
GO:0051402	neuron apoptotic process	4/45	245/18866	6.84480725623583	0.00272330124792712	0.0250221603909002	0.0174772134417054	BTG2/SOD2/BID/SIAH1	4
GO:0007611	learning or memory	4/45	260/18866	6.44991452991453	0.00337054630071354	0.0292399168929921	0.0204231873096936	BTG2/PTGS2/HTT/LDLR	4
GO:0090050	positive regulation of cell migration involved in sprouting angiogenesis	2/45	37/18866	22.6618618618619	0.00351354613339868	0.0301741223214992	0.0210757012180592	ANXA1/PTGS2	2
GO:0033673	negative regulation of kinase activity	4/45	268/18866	6.25737976782753	0.0037553805935122	0.0319300767876237	0.0223021816865297	DUSP1/PYCARD/GADD45A/DUSP2	4
GO:0035886	vascular associated smooth muscle cell differentiation	2/45	39/18866	21.4997150997151	0.00389740754311174	0.0328111797594974	0.0229176051536879	SOD2/DNMT1	2
GO:0001819	positive regulation of cytokine production	5/45	447/18866	4.68953517275665	0.00409018621141268	0.0339326613364285	0.023700925721727	IRF5/ANXA1/PYCARD/PTGS2/RGCC	5
GO:0043254	regulation of protein-containing complex assembly	5/45	449/18866	4.66864637465974	0.00416823343063883	0.0344130962945012	0.0240364948402971	CYFIP2/PYCARD/BID/ULK1/HSPA8	5
GO:0032355	response to estradiol	3/45	141/18866	8.92009456264775	0.00460999647004964	0.0378773267659367	0.0264561538311553	ANXA1/DUSP1/PTGS2	3
GO:0150077	regulation of neuroinflammatory response	2/45	43/18866	19.4997416020672	0.00472083638007387	0.0382980153303857	0.0267499919218117	PTGS2/LDLR	2
GO:0042542	response to hydrogen peroxide	3/45	146/18866	8.61461187214612	0.00507960678547687	0.0407560938797182	0.0284668845798407	ANXA1/DUSP1/MDM2	3
GO:0051348	negative regulation of transferase activity	4/45	296/18866	5.66546546546547	0.00533636310258504	0.0418341492766873	0.0292198732898669	DUSP1/PYCARD/GADD45A/DUSP2	4
GO:1903364	positive regulation of cellular protein catabolic process	3/45	149/18866	8.44116331096197	0.00537474176668809	0.0418429396376412	0.0292260130880387	MDM2/PLK3/LDLR	3
GO:0051150	regulation of smooth muscle cell differentiation	2/45	47/18866	17.8401891252955	0.00561735805295211	0.0430496184416823	0.0300688413124744	SOD2/DNMT1	2
GO:0007162	negative regulation of cell adhesion	4/45	301/18866	5.57135474344777	0.00565914606202897	0.0431762527678907	0.0301572915147596	ANXA1/DUSP1/RGCC/MAP4K4	4
GO:0032648	regulation of interferon-beta production	2/45	48/18866	17.4685185185185	0.00585274457962498	0.0438699144148206	0.0306417929514992	IRF5/PYCARD	2
GO:0032608	interferon-beta production	2/45	50/18866	16.7697777777778	0.00633687272910521	0.0464794656396601	0.0324644846388313	IRF5/PYCARD	2
GO:0045839	negative regulation of mitotic nuclear division	2/45	52/18866	16.1247863247863	0.0068386637996295	0.0497330912066673	0.0347370425477261	DUSP1/RGCC	2
GO:0007568	aging	4/45	319/18866	5.25698362939742	0.00692913015932332	0.0501774722130659	0.0350474290841777	YPEL3/PTGS2/LONP1/SOD2	4
GO:0001706	endoderm formation	2/45	55/18866	15.2452525252525	0.0076240932876936	0.0538412207796213	0.0376064453599154	DUSP1/DUSP2	2
GO:1901568	fatty acid derivative metabolic process	3/45	175/18866	7.18704761904762	0.0083671056813251	0.0584540562072985	0.0408283697693798	ANXA1/PTGS2/TBXAS1	3
GO:0031638	zymogen activation	2/45	58/18866	14.4567049808429	0.00844830420316135	0.0584540562072985	0.0408283697693798	CYFIP2/PYCARD	2
GO:0051784	negative regulation of nuclear division	2/45	60/18866	13.9748148148148	0.0090190424520701	0.0619017813276619	0.0432365002775206	DUSP1/RGCC	2
GO:0030336	negative regulation of cell migration	4/45	350/18866	4.79136507936508	0.00953581565742066	0.064131541288727	0.0447939193874019	DUSP1/RGCC/GADD45A/TP53INP1	4
GO:0010565	regulation of cellular ketone metabolic process	3/45	189/18866	6.65467372134039	0.0103128042030443	0.0677868553192412	0.0473470443977823	ANXA1/PTGS2/ODC1	3
GO:0070997	neuron death	4/45	360/18866	4.65827160493827	0.0104963882759211	0.0680952195751719	0.047562427395673	BTG2/SOD2/BID/SIAH1	4
GO:0051205	protein insertion into membrane	2/45	65/18866	12.8998290598291	0.0105190976991488	0.0680952195751719	0.047562427395673	PMAIP1/BID	2
GO:0090181	regulation of cholesterol metabolic process	2/45	65/18866	12.8998290598291	0.0105190976991488	0.0680952195751719	0.047562427395673	FDPS/LDLR	2
GO:0010038	response to metal ion	4/45	366/18866	4.5819064966606	0.0111018885166789	0.0703021465680754	0.0491038983759032	DUSP1/PTGS2/LONP1/MDM2	4
GO:0002548	monocyte chemotaxis	2/45	67/18866	12.5147595356551	0.011147970579256	0.0703021465680754	0.0491038983759032	ANXA1/DUSP1	2
GO:1905710	positive regulation of membrane permeability	2/45	67/18866	12.5147595356551	0.011147970579256	0.0703021465680754	0.0491038983759032	PMAIP1/BID	2
GO:0035914	skeletal muscle cell differentiation	2/45	69/18866	12.1520128824477	0.011793084485413	0.073023120962213	0.0510044157378273	BTG2/ATF3	2
GO:0071230	cellular response to amino acid stimulus	2/45	69/18866	12.1520128824477	0.011793084485413	0.073023120962213	0.0510044157378273	DNMT1/SESN1	2
GO:0006909	phagocytosis	4/45	382/18866	4.38999418266434	0.0128260761423791	0.0788480724004527	0.055072966094123	CYFIP2/ANXA1/PYCARD/LDLR	4
GO:0051145	smooth muscle cell differentiation	2/45	73/18866	11.4861491628615	0.0131313889714878	0.0795405293001894	0.0555566260518092	SOD2/DNMT1	2
GO:0051966	regulation of synaptic transmission, glutamatergic	2/45	73/18866	11.4861491628615	0.0131313889714878	0.0795405293001894	0.0555566260518092	DGKZ/PTGS2	2
GO:1902117	positive regulation of organelle assembly	2/45	73/18866	11.4861491628615	0.0131313889714878	0.0795405293001894	0.0555566260518092	HTT/ULK1	2
GO:0051881	regulation of mitochondrial membrane potential	2/45	74/18866	11.3309309309309	0.0134758641447689	0.0810924359979229	0.0566405853972126	PMAIP1/BID	2
GO:0002685	regulation of leukocyte migration	3/45	212/18866	5.93270440251572	0.0140380346223167	0.0838846194739132	0.05859084012406	ANXA1/DUSP1/PYCARD	3
GO:0051701	interaction with host	3/45	212/18866	5.93270440251572	0.0140380346223167	0.0838846194739132	0.05859084012406	TRIM22/LDLR/ULK1	3
GO:0071229	cellular response to acid chemical	2/45	76/18866	11.0327485380117	0.0141765541346645	0.0843532513937927	0.0589181651815841	DNMT1/SESN1	2
GO:0060411	cardiac septum morphogenesis	2/45	77/18866	10.8894660894661	0.0145327294490572	0.0848160038375718	0.0592413836049438	MDM2/DHRS3	2
GO:0150076	neuroinflammatory response	2/45	77/18866	10.8894660894661	0.0145327294490572	0.0848160038375718	0.0592413836049438	PTGS2/LDLR	2
GO:0040013	negative regulation of locomotion	4/45	397/18866	4.22412538483067	0.0145909333693658	0.0848160038375718	0.0592413836049438	DUSP1/RGCC/GADD45A/TP53INP1	4
GO:0007492	endoderm development	2/45	79/18866	10.6137834036568	0.0152566424729662	0.0866232624129544	0.0605036984240032	DUSP1/DUSP2	2
GO:1903313	positive regulation of mRNA metabolic process	2/45	82/18866	10.2254742547425	0.0163711253016199	0.0920337274357514	0.064282742700959	BTG2/HSPA8	2
GO:0006970	response to osmotic stress	2/45	85/18866	9.86457516339869	0.0175194794111127	0.0975270042788	0.0681196285006062	PTGS2/PLK3	2
GO:0001776	leukocyte homeostasis	2/45	86/18866	9.74987080103359	0.0179097014168673	0.0993755835111239	0.0694108045342703	ANXA1/PMAIP1	2
