"genotype"	"cluster_corrected"	"cluster"
"MPNAML10PL36_7J"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_9A"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_9K"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_9L"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_9O"	"TP53HET"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_11A"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_11B"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_11E"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_11I"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_13D"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_13F"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_13J"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_15C"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_15K"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_17B"	"TP53HET"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_17C"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_17F"	"TP53HET"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_17H"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_17L"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_17N"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_19B"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_19C"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_19D"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_19G"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_21B"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_21D"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_21G"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_21K"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_21N"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_23D"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_23F"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_23I"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_3G"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_5E"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_5I"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_5K"	"TP53HET"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL37_9A"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_11B"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_11E"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_11N"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_11P"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_13G"	"TP53HET"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_13K"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_19E"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_19O"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_1K"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_1L"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_1P"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_21O"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_23E"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_23O"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_23P"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_3E"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_3L"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_5J"	"TP53HET"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_7C"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_7F"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_7J"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_7O"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_9H"	"TP53HET"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_9L"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_9M"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_9N"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL38_9P"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL45_13B"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL45_15A"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL45_15C"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL45_15H"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL45_17G"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL45_17H"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL45_19E"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL45_19P"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL45_1K"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL45_21C"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL45_21D"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL45_21I"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL45_21J"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL45_23H"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL45_5B"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL45_5J"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL45_7C"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL45_7E"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL45_7G"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL45_7I"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL45_7L"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL45_7N"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL35_11I"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_11C"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_11N"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_13A"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_13J"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_13P"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_15A"	NA	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_15D"	NA	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_15M"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_17H"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_17K"	"TP53HET"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_17M"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_17N"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_17P"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_19B"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_19D"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_19E"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_19L"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_19M"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_1B"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_1C"	NA	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_1G"	"TP53HET"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_1H"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_1K"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_1M"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_21F"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_21H"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_21J"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_21L"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_23A"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_23D"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_23F"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_23H"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_23J"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_23L"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_3A"	NA	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_3C"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_3E"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_3K"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_7B"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_7C"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_7D"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_7E"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_7I"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_7J"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_9E"	NA	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_9G"	"TP53HET"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL35_9N"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_13A"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_13B"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_13D"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_13E"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_13K"	NA	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_13O"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_15A"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_15L"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_15O"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_17A"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_17K"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_17M"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_1B"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_1E"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_1I"	NA	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_1P"	"TP53HET"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_23A"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_23G"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_23I"	NA	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_23L"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_23M"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_23O"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_3D"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_3O"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_5E"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_5I"	NA	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_5M"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_5N"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_7M"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_9D"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL36_9G"	NA	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_11D"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_11F"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_13C"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_13L"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_15G"	NA	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_15I"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_17K"	NA	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_17M"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_17O"	NA	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_19A"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_19H"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_19J"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_1E"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_1O"	NA	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_21A"	"TP53HET"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_21C"	"TP53HET"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_21H"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_21O"	NA	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_23J"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_23L"	"TP53HET"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_23P"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_5C"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_5M"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_9E"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_9I"	NA	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_9K"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL37_9M"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_11G"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_11I"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_11M"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_13M"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_13O"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_15P"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_1E"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_1H"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_1J"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_21N"	NA	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_23D"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_3I"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_3K"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_3N"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_3P"	NA	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_5B"	"TP53HET"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_5D"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_5E"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_5N"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_7B"	NA	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_7D"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_7H"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_7K"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_7M"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_7N"	NA	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_9B"	NA	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_9C"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_9E"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_9F"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL38_9O"	"TP53HET"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
"MPNAML10PL45_11A"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.2.1"
