"subcluster"	"genotype"	"cluster_corrected"	"cluster"
"MPNAML21PL92_5M"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL92_7C"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL92_7F"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL92_7P"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL92_9O"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL93_1N"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL93_9N"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML21PL94_13E"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL58_15C"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL58_13C"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL58_17A"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL58_17C"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL58_21D"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL59_11B"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL59_17B"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL59_17M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL59_21O"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL59_3E"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL59_9A"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_11G"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_11I"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_11P"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_13F"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_13J"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_15H"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_17A"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_17I"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_17K"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_17L"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_17M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_19A"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_19G"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_19L"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_19M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_19N"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_19P"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_21C"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_21E"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_21F"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_21I"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_21N"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_21P"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_23A"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_23E"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_23G"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_23J"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_23M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_3C"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_3E"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_3F"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_3H"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_3O"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_5C"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_5G"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_5H"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_9C"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_9F"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_9I"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_9M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL60_9O"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_13A"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_13B"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_13C"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_13F"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_13N"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_15B"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_15C"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_15F"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_15G"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_15L"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_15M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_17B"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_17E"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_17K"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_17M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_17N"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_17O"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_19A"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_19B"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_19C"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_19D"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_19E"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_19I"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_19K"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_19M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_19N"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_19O"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_19P"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_21A"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_21H"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_21M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_21N"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_23B"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_23C"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_23K"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_23N"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_3N"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_3O"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_3P"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_5C"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_5E"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_5H"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_5I"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_5K"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_5M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_5O"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_7A"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_7C"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_7F"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_7G"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_7H"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_7I"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_7L"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_7M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_9A"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_9G"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_9H"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_9L"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL61_9M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL70_15C"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL70_15M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL70_17M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL70_19M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL70_19P"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL70_21A"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL70_21M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL70_23M"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL70_7C"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL70_7K"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL70_9G"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL70_9I"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_11E"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_11G"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_11M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_11O"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_13D"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_13F"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_13N"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_13O"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_15I"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_15N"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_15O"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_15P"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_17H"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_17I"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_17K"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_17N"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
