"genotype"	"cluster_corrected"	"cluster"
"MPNAML30PL166_9G"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_9H"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_9I"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_9O"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_9P"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL167_11K"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL167_13C"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL167_13E"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL167_15C"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL167_15G"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL167_15O"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL167_17I"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL167_17N"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL167_19G"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL167_19M"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL167_1A"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL167_1I"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL167_1K"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL167_23C"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL167_23F"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL167_23I"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL167_5E"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL167_5K"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL167_5M"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL167_7C"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL167_7I"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL167_9C"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL167_9I"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL167_9P"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL168_11E"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL168_11K"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL168_11L"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL168_11M"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL168_11O"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL168_13C"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL168_13E"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL168_13K"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL168_17A"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL168_17K"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL168_19I"	"TP53HET"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL168_19M"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL168_1B"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL168_21M"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL168_23J"	"TP53HET"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL168_3A"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL168_3C"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL168_3I"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL168_9M"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_11D"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_11H"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_11M"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_11P"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_13B"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_13D"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_13G"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_13H"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_13J"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_13K"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_13L"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_13M"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_13N"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_15B"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_15D"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_15F"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_15G"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_15J"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_15L"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_15P"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_17B"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_17C"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_17D"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_17F"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_17H"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_17K"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_17N"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_19B"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_19D"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_19E"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_19F"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_19H"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_19K"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_19L"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_1A"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_1E"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_21B"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_21C"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_21H"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_21J"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_21K"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_21O"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_21P"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_23A"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_23F"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_23G"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_23I"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_23J"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_23K"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_23L"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_23P"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_3G"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_3I"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_3K"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_3M"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_5A"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_5F"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_5O"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_5P"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_9A"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_9B"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_9H"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_9N"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL169_9P"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL165_15P"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL165_15N"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL165_17H"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL165_17K"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL165_17O"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL165_21I"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL165_23C"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL165_23E"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL165_23K"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL165_23N"	"TP53HET"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL165_3H"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL165_3J"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL165_3M"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL165_5H"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL165_5L"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL165_5O"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL165_5P"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL165_7J"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL165_7K"	"TP53HET"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL165_7P"	NA	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL165_9A"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL165_9B"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL166_11I"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL166_11L"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL166_11M"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL166_13K"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL166_15C"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL166_15D"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL166_17G"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL166_17O"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL166_19E"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL166_19J"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL166_23C"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL166_23E"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL166_23I"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL166_23M"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL166_23O"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL166_3K"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL166_7M"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL166_9C"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL166_9D"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL166_9L"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_11F"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_11H"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_11O"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_13A"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_13H"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_13M"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_15D"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_17C"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_17D"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_17F"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_17H"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_19C"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_19D"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_19H"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_19K"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_19O"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_1D"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_21A"	NA	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_21C"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_21E"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_21G"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_21O"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_23H"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_23M"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_5A"	NA	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_5C"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_7A"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_7D"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_7E"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_7K"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_7N"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_9A"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_9F"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_9H"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL167_9O"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL168_11C"	"TP53HET"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL168_15E"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL168_15K"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL168_17O"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL168_19E"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL168_1M"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL168_1O"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL168_21I"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL168_23A"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL168_23G"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL168_23M"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL168_23P"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL168_3G"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL168_3K"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL168_3M"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL168_3N"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL168_9D"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL168_9G"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL168_9I"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL169_11F"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL169_11K"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL169_15N"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL169_17L"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL169_17O"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL169_17P"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL169_19N"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL169_5G"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.2.2"
"MPNAML30PL165_13D"	"TP53_multihit_M2"	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL165_11D"	"TP53_multihit_M2"	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL165_13J"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL165_15B"	"TP53HET"	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL165_17M"	"TP53_multihit_M2"	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL165_3I"	"TP53_multihit_M2"	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL165_7C"	"TP53_multihit_M2"	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL165_7H"	"TP53_multihit_M2"	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL165_9L"	"TP53_multihit_M2"	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL166_11B"	"TP53_multihit_M2"	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL166_11H"	"TP53_multihit_M2"	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL166_13A"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL166_15B"	"TP53_multihit_M2"	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL166_15G"	"TP53_multihit_M2"	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL166_15I"	"TP53_multihit_M2"	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL166_17B"	"TP53_multihit_M2"	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL166_17F"	"TP53_multihit_M2"	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL166_21B"	"TP53_multihit_M2"	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL166_23D"	"TP53_multihit_M2"	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL166_23G"	"TP53_multihit_M2"	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL166_3C"	"TP53_multihit_M2"	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL166_5J"	"TP53_multihit_M2"	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL166_7E"	"TP53_multihit_M2"	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL166_7H"	"TP53_multihit_M2"	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL166_7J"	"TP53_multihit_M2"	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL166_9B"	"TP53_multihit_M2"	"cluster1"	"patient.1.2.1.1"
"MPNAML30PL166_9F"	"TP53HET"	"cluster1"	"patient.1.2.1.1"
