"subcluster"	"genotype"	"stage"	"cluster_corrected"	"cluster"
"MPNAML31PL181_17J"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL181_19K"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL181_19N"	"patient.1.1.2.2"	NA	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL181_21J"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL181_21L"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL181_7K"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_002"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL181_7L"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_002"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL181_9B"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_002"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL181_9J"	"patient.1.1.2.2"	"TP53HET"	"GH001_002"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL184_11C"	"patient.1.1.2.2"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL184_17F"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_002"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL184_17I"	"patient.1.1.2.2"	"TP53HET"	"GH001_002"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL184_3N"	"patient.1.1.2.2"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL184_7L"	"patient.1.1.2.2"	NA	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL185_11H"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL185_11P"	"patient.1.1.2.2"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL185_19B"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_002"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL185_21G"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_002"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL185_23J"	"patient.1.1.2.2"	NA	"GH001_002"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL185_5L"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL186_13N"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL186_15I"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL186_15J"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL186_15O"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL186_19A"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL186_19N"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL186_21C"	"patient.1.1.2.2"	NA	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL186_21F"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL186_23B"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL186_23G"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL186_23P"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL186_3D"	"patient.1.1.2.2"	"unassigned"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL186_7I"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL186_7J"	"patient.1.1.2.2"	NA	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL186_7L"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL187_17F"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL187_19E"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL187_19K"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL187_19M"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL187_1D"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL187_21K"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL187_21N"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL187_23G"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL187_23N"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL187_23O"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL187_3B"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL187_3N"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL187_5H"	"patient.1.1.2.2"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL187_5I"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL187_7J"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL187_9L"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL188_11K"	"patient.1.1.2.2"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL188_11N"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL188_15D"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL188_15G"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL188_15I"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL188_15K"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL188_17F"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL188_17H"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL188_19C"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL188_19K"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL188_1C"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL188_1L"	"patient.1.1.2.2"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL188_23F"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL188_23H"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL188_23O"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL188_5B"	"patient.1.1.2.2"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL188_5H"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL188_5N"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL188_7H"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL188_9I"	"patient.1.1.2.2"	NA	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL188_9J"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL176_11D"	"patient.1.1.2.1"	"unassigned"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_11C"	"patient.1.1.2.1"	NA	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_11E"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_11F"	"patient.1.1.2.1"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_11H"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_11L"	"patient.1.1.2.1"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_11M"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_11N"	"patient.1.1.2.1"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_17E"	"patient.1.1.2.1"	"unassigned"	"GH001_003"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_19H"	"patient.1.1.2.1"	NA	"GH001_003"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_1B"	"patient.1.1.2.1"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_1E"	"patient.1.1.2.1"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_1F"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_1K"	"patient.1.1.2.1"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_1L"	"patient.1.1.2.1"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_1M"	"patient.1.1.2.1"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_1O"	"patient.1.1.2.1"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_1P"	"patient.1.1.2.1"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_21B"	"patient.1.1.2.1"	"unassigned"	"GH001_003"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_3C"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_3N"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_3P"	"patient.1.1.2.1"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_5A"	"patient.1.1.2.1"	NA	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_5F"	"patient.1.1.2.1"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_5J"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_5L"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_5P"	"patient.1.1.2.1"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_7F"	"patient.1.1.2.1"	NA	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_7G"	"patient.1.1.2.1"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_7H"	"patient.1.1.2.1"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_7J"	"patient.1.1.2.1"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_7M"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_9A"	"patient.1.1.2.1"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_9I"	"patient.1.1.2.1"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL176_9O"	"patient.1.1.2.1"	"TP53HET"	"GH001_001"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL177_11D"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GH001_002"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL177_11F"	"patient.1.1.2.1"	"TP53HET"	"GH001_002"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL177_11I"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GH001_002"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL177_11K"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GH001_002"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL177_11M"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GH001_002"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL177_11N"	"patient.1.1.2.1"	"TP53HET"	"GH001_002"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL177_1D"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GH001_002"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL177_1F"	"patient.1.1.2.1"	"TP53HET"	"GH001_002"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL177_1I"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GH001_002"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL177_1K"	"patient.1.1.2.1"	NA	"GH001_002"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL177_1M"	"patient.1.1.2.1"	NA	"GH001_002"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL177_3B"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GH001_002"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL177_3C"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GH001_002"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL177_3E"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GH001_002"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL177_3L"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GH001_002"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL177_3M"	"patient.1.1.2.1"	"TP53HET"	"GH001_002"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL177_3O"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GH001_002"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL177_5A"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GH001_002"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL177_5E"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GH001_002"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL177_5L"	"patient.1.1.2.1"	NA	"GH001_002"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL177_5M"	"patient.1.1.2.1"	NA	"GH001_002"	"cluster1"	"patient.1.1.2.1"
"MPNAML31PL177_5O"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GH001_002"	"cluster1"	"patient.1.1.2.1"
