"subcluster"	"genotype"	"cluster_corrected"	"cluster"
"MPNAML13PL62_7E"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL62_7N"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL62_9F"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL64_11D"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL64_11H"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL64_11J"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL64_11L"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL64_11O"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL64_17M"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL64_21J"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL64_3C"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL64_3D"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL64_3K"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL64_3L"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL64_3P"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL64_5A"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL64_5D"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL64_5I"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL64_5O"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL64_7C"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL64_7K"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL64_9H"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL64_9M"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL64_9O"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_11P"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_13K"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_13L"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_13N"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_15A"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_15C"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_15D"	"patient.1.1.1.1"	NA	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_15K"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_15L"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_15O"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_15P"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_17F"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_17L"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_17M"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_19D"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_19G"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_19H"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_19I"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_19J"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_19L"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_21A"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_21C"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_21D"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_21E"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_21F"	"patient.1.1.1.1"	NA	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_21I"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_21J"	"patient.1.1.1.1"	NA	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_21K"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_21N"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_21O"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_3J"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_3K"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_3L"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_5H"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_5J"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_7J"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_7K"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_9G"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_9N"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL66_9O"	"patient.1.1.1.1"	NA	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_11A"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_11I"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_11J"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_11L"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_11N"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_11O"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_13D"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_13F"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_13M"	"patient.1.1.1.1"	NA	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_13N"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_13O"	"patient.1.1.1.1"	NA	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_15G"	"patient.1.1.1.1"	NA	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_15L"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_17O"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_19H"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_1B"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_1J"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_1M"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_3D"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_3L"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_3O"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_3P"	"patient.1.1.1.1"	NA	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_5N"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_5O"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_5P"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_7F"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_7G"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_7H"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_9A"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_9D"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL71_9H"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL72_13E"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL72_13M"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL72_13O"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL72_15D"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL72_15M"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL72_17K"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL72_1C"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL72_1O"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL72_3F"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL72_3O"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL72_5E"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL72_7C"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL72_7G"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL72_9I"	"patient.1.1.1.1"	NA	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL72_9O"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL73_17M"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL73_3J"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL73_3L"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL73_7D"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL73_7J"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL73_9L"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL62_11D"	"patient.1.1.1.2"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_11B"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_11H"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_11I"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_11J"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_11K"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_11P"	"patient.1.1.1.2"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_13D"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_13E"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_13J"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_13L"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_13O"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_15F"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_15N"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_17D"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_17G"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_21B"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_21L"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_3A"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_3C"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_3F"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_3H"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_3I"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_3J"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_3K"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_3L"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_3N"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_3O"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_3P"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_5J"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_5K"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_5L"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_5P"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_7A"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_7C"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_7F"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_7H"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_7J"	"patient.1.1.1.2"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_7M"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_7O"	"patient.1.1.1.2"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_7P"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_9B"	"patient.1.1.1.2"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_9G"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_9H"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_9K"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_9L"	"patient.1.1.1.2"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_9N"	"patient.1.1.1.2"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_11B"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_11E"	"patient.1.1.1.2"	"TP53HET"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_11G"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_11I"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_11K"	"patient.1.1.1.2"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_11N"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_17B"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_19I"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_21A"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_21F"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_21K"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_3G"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_3O"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_5B"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_5E"	"patient.1.1.1.2"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_5J"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_5K"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_5L"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_5M"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_5P"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_7A"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_7D"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_7F"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_7H"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_7I"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_7J"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_7N"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_7O"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_9A"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_9D"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_9I"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_9K"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_9L"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL64_9P"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_11G"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_11H"	"patient.1.1.1.2"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_11K"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_11L"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_13I"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_13M"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_13O"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_15B"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_15I"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_17A"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_17E"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
