"subcluster"	"cell_id"
"patient.1.1.1.1"	"MPNAML08PL19_9H"
"patient.1.1.1.1"	"MPNAML08PL19_9O"
"patient.1.1.1.1"	"MPNAML08PL21_17O"
"patient.1.1.1.1"	"MPNAML08PL23_13L"
"patient.1.1.1.1"	"MPNAML08PL23_19D"
"patient.1.1.1.1"	"MPNAML08PL24_21L"
"patient.1.1.1.1"	"MPNAML08PL24_23F"
"patient.1.1.1.1"	"MPNAML08PL24_5O"
"patient.1.1.1.1"	"MPNAML08PL25_19G"
"patient.1.1.1.1"	"MPNAML08PL25_21I"
"patient.1.1.1.1"	"MPNAML08PL25_3O"
"patient.1.1.1.1"	"MPNAML08PL28_23D"
"patient.1.1.1.2"	"MPNAML08PL19_11I"
"patient.1.1.1.2"	"MPNAML08PL19_11L"
"patient.1.1.1.2"	"MPNAML08PL19_15J"
"patient.1.1.1.2"	"MPNAML08PL19_17F"
"patient.1.1.1.2"	"MPNAML08PL19_17G"
"patient.1.1.1.2"	"MPNAML08PL19_17K"
"patient.1.1.1.2"	"MPNAML08PL19_17P"
"patient.1.1.1.2"	"MPNAML08PL19_19K"
"patient.1.1.1.2"	"MPNAML08PL19_1C"
"patient.1.1.1.2"	"MPNAML08PL19_1L"
"patient.1.1.1.2"	"MPNAML08PL19_21B"
"patient.1.1.1.2"	"MPNAML08PL19_21M"
"patient.1.1.1.2"	"MPNAML08PL19_3G"
"patient.1.1.1.2"	"MPNAML08PL20_11H"
"patient.1.1.1.2"	"MPNAML08PL20_13B"
"patient.1.1.1.2"	"MPNAML08PL20_13D"
"patient.1.1.1.2"	"MPNAML08PL20_13E"
"patient.1.1.1.2"	"MPNAML08PL20_13M"
"patient.1.1.1.2"	"MPNAML08PL20_15C"
"patient.1.1.1.2"	"MPNAML08PL20_17O"
"patient.1.1.1.2"	"MPNAML08PL20_19O"
"patient.1.1.1.2"	"MPNAML08PL20_19P"
"patient.1.1.1.2"	"MPNAML08PL20_21C"
"patient.1.1.1.2"	"MPNAML08PL20_21I"
"patient.1.1.1.2"	"MPNAML08PL20_21K"
"patient.1.1.1.2"	"MPNAML08PL20_23G"
"patient.1.1.1.2"	"MPNAML08PL20_23I"
"patient.1.1.1.2"	"MPNAML08PL20_3C"
"patient.1.1.1.2"	"MPNAML08PL20_3L"
"patient.1.1.1.2"	"MPNAML08PL20_7B"
"patient.1.1.1.2"	"MPNAML08PL20_7C"
"patient.1.1.1.2"	"MPNAML08PL20_7I"
"patient.1.1.1.2"	"MPNAML08PL20_7O"
"patient.1.1.1.2"	"MPNAML08PL20_9O"
"patient.1.1.1.2"	"MPNAML08PL21_11G"
"patient.1.1.1.2"	"MPNAML08PL21_11H"
"patient.1.1.1.2"	"MPNAML08PL21_11J"
"patient.1.1.1.2"	"MPNAML08PL21_11N"
"patient.1.1.1.2"	"MPNAML08PL21_11O"
"patient.1.1.1.2"	"MPNAML08PL21_11P"
"patient.1.1.1.2"	"MPNAML08PL21_13E"
"patient.1.1.1.2"	"MPNAML08PL21_13F"
"patient.1.1.1.2"	"MPNAML08PL21_13N"
"patient.1.1.1.2"	"MPNAML08PL21_13O"
"patient.1.1.1.2"	"MPNAML08PL21_15D"
"patient.1.1.1.2"	"MPNAML08PL21_15E"
"patient.1.1.1.2"	"MPNAML08PL21_17E"
"patient.1.1.1.2"	"MPNAML08PL21_17J"
"patient.1.1.1.2"	"MPNAML08PL21_17M"
"patient.1.1.1.2"	"MPNAML08PL21_19C"
"patient.1.1.1.2"	"MPNAML08PL21_19E"
"patient.1.1.1.2"	"MPNAML08PL21_19O"
"patient.1.1.1.2"	"MPNAML08PL21_19P"
"patient.1.1.1.2"	"MPNAML08PL21_1I"
"patient.1.1.1.2"	"MPNAML08PL21_1M"
"patient.1.1.1.2"	"MPNAML08PL21_1P"
"patient.1.1.1.2"	"MPNAML08PL21_21K"
"patient.1.1.1.2"	"MPNAML08PL21_21L"
"patient.1.1.1.2"	"MPNAML08PL21_21M"
"patient.1.1.1.2"	"MPNAML08PL21_21N"
"patient.1.1.1.2"	"MPNAML08PL21_21O"
"patient.1.1.1.2"	"MPNAML08PL21_23C"
"patient.1.1.1.2"	"MPNAML08PL21_23E"
"patient.1.1.1.2"	"MPNAML08PL21_23G"
"patient.1.1.1.2"	"MPNAML08PL21_23I"
"patient.1.1.1.2"	"MPNAML08PL21_23J"
"patient.1.1.1.2"	"MPNAML08PL21_5I"
"patient.1.1.1.2"	"MPNAML08PL21_5J"
"patient.1.1.1.2"	"MPNAML08PL21_5L"
"patient.1.1.1.2"	"MPNAML08PL21_5M"
"patient.1.1.1.2"	"MPNAML08PL21_5N"
"patient.1.1.1.2"	"MPNAML08PL21_9I"
"patient.1.1.1.2"	"MPNAML08PL21_9O"
"patient.1.1.1.2"	"MPNAML08PL22_13O"
"patient.1.1.1.2"	"MPNAML08PL22_15C"
"patient.1.1.1.2"	"MPNAML08PL22_15D"
"patient.1.1.1.2"	"MPNAML08PL22_15H"
"patient.1.1.1.2"	"MPNAML08PL22_15N"
"patient.1.1.1.2"	"MPNAML08PL22_17G"
"patient.1.1.1.2"	"MPNAML08PL22_19G"
"patient.1.1.1.2"	"MPNAML08PL22_1M"
"patient.1.1.1.2"	"MPNAML08PL22_1P"
"patient.1.1.1.2"	"MPNAML08PL22_3G"
"patient.1.1.1.2"	"MPNAML08PL22_3O"
"patient.1.1.1.2"	"MPNAML08PL22_3P"
"patient.1.1.1.2"	"MPNAML08PL22_7J"
"patient.1.1.1.2"	"MPNAML08PL22_7N"
"patient.1.1.1.2"	"MPNAML08PL22_7O"
"patient.1.1.1.2"	"MPNAML08PL22_9B"
"patient.1.1.1.2"	"MPNAML08PL22_9J"
"patient.1.1.1.2"	"MPNAML08PL22_9M"
"patient.1.1.1.2"	"MPNAML08PL22_9N"
"patient.1.1.1.2"	"MPNAML08PL23_11C"
"patient.1.1.1.2"	"MPNAML08PL23_11D"
"patient.1.1.1.2"	"MPNAML08PL23_11G"
"patient.1.1.1.2"	"MPNAML08PL23_11H"
"patient.1.1.1.2"	"MPNAML08PL23_11K"
"patient.1.1.1.2"	"MPNAML08PL23_11O"
"patient.1.1.1.2"	"MPNAML08PL23_13A"
"patient.1.1.1.2"	"MPNAML08PL23_13C"
"patient.1.1.1.2"	"MPNAML08PL23_13F"
"patient.1.1.1.2"	"MPNAML08PL23_13K"
"patient.1.1.1.2"	"MPNAML08PL23_13M"
"patient.1.1.1.2"	"MPNAML08PL23_13O"
"patient.1.1.1.2"	"MPNAML08PL23_15B"
"patient.1.1.1.2"	"MPNAML08PL23_15C"
"patient.1.1.1.2"	"MPNAML08PL23_15M"
"patient.1.1.1.2"	"MPNAML08PL23_15O"
"patient.1.1.1.2"	"MPNAML08PL23_15P"
"patient.1.1.1.2"	"MPNAML08PL23_17A"
"patient.1.1.1.2"	"MPNAML08PL23_17C"
"patient.1.1.1.2"	"MPNAML08PL23_17D"
"patient.1.1.1.2"	"MPNAML08PL23_17L"
"patient.1.1.1.2"	"MPNAML08PL23_17M"
"patient.1.1.1.2"	"MPNAML08PL23_17N"
"patient.1.1.1.2"	"MPNAML08PL23_19M"
"patient.1.1.1.2"	"MPNAML08PL23_19O"
"patient.1.1.1.2"	"MPNAML08PL23_21C"
"patient.1.1.1.2"	"MPNAML08PL23_21G"
"patient.1.1.1.2"	"MPNAML08PL23_21H"
"patient.1.1.1.2"	"MPNAML08PL23_21I"
"patient.1.1.1.2"	"MPNAML08PL23_21J"
"patient.1.1.1.2"	"MPNAML08PL23_21K"
"patient.1.1.1.2"	"MPNAML08PL23_21L"
"patient.1.1.1.2"	"MPNAML08PL23_21M"
"patient.1.1.1.2"	"MPNAML08PL23_21O"
"patient.1.1.1.2"	"MPNAML08PL23_23B"
"patient.1.1.1.2"	"MPNAML08PL23_23D"
"patient.1.1.1.2"	"MPNAML08PL23_23E"
"patient.1.1.1.2"	"MPNAML08PL23_23F"
"patient.1.1.1.2"	"MPNAML08PL23_23H"
"patient.1.1.1.2"	"MPNAML08PL23_23K"
"patient.1.1.1.2"	"MPNAML08PL23_23O"
"patient.1.1.1.2"	"MPNAML08PL23_23P"
"patient.1.1.1.2"	"MPNAML08PL23_3C"
"patient.1.1.1.2"	"MPNAML08PL23_3K"
"patient.1.1.1.2"	"MPNAML08PL23_3L"
"patient.1.1.1.2"	"MPNAML08PL23_5G"
"patient.1.1.1.2"	"MPNAML08PL23_5M"
"patient.1.1.1.2"	"MPNAML08PL23_7E"
"patient.1.1.1.2"	"MPNAML08PL23_7G"
"patient.1.1.1.2"	"MPNAML08PL23_7K"
"patient.1.1.1.2"	"MPNAML08PL23_7L"
"patient.1.1.1.2"	"MPNAML08PL23_7M"
"patient.1.1.1.2"	"MPNAML08PL23_7O"
"patient.1.1.1.2"	"MPNAML08PL23_9A"
"patient.1.1.1.2"	"MPNAML08PL23_9B"
"patient.1.1.1.2"	"MPNAML08PL23_9E"
"patient.1.1.1.2"	"MPNAML08PL23_9J"
"patient.1.1.1.2"	"MPNAML08PL23_9L"
"patient.1.1.1.2"	"MPNAML08PL23_9M"
"patient.1.1.1.2"	"MPNAML08PL24_11B"
"patient.1.1.1.2"	"MPNAML08PL24_11J"
"patient.1.1.1.2"	"MPNAML08PL24_13B"
"patient.1.1.1.2"	"MPNAML08PL24_13D"
"patient.1.1.1.2"	"MPNAML08PL24_13G"
"patient.1.1.1.2"	"MPNAML08PL24_13H"
"patient.1.1.1.2"	"MPNAML08PL24_13J"
"patient.1.1.1.2"	"MPNAML08PL24_13L"
"patient.1.1.1.2"	"MPNAML08PL24_15H"
"patient.1.1.1.2"	"MPNAML08PL24_15J"
"patient.1.1.1.2"	"MPNAML08PL24_15N"
"patient.1.1.1.2"	"MPNAML08PL24_15P"
"patient.1.1.1.2"	"MPNAML08PL24_17C"
"patient.1.1.1.2"	"MPNAML08PL24_17E"
"patient.1.1.1.2"	"MPNAML08PL24_17F"
"patient.1.1.1.2"	"MPNAML08PL24_17G"
"patient.1.1.1.2"	"MPNAML08PL24_17H"
"patient.1.1.1.2"	"MPNAML08PL24_17P"
"patient.1.1.1.2"	"MPNAML08PL24_19A"
"patient.1.1.1.2"	"MPNAML08PL24_19B"
"patient.1.1.1.2"	"MPNAML08PL24_19J"
"patient.1.1.1.2"	"MPNAML08PL24_19N"
"patient.1.1.1.2"	"MPNAML08PL24_1I"
"patient.1.1.1.2"	"MPNAML08PL24_1J"
"patient.1.1.1.2"	"MPNAML08PL24_21D"
"patient.1.1.1.2"	"MPNAML08PL24_21F"
"patient.1.1.1.2"	"MPNAML08PL24_21N"
"patient.1.1.1.2"	"MPNAML08PL24_23E"
"patient.1.1.1.2"	"MPNAML08PL24_23H"
"patient.1.1.1.2"	"MPNAML08PL24_23K"
"patient.1.1.1.2"	"MPNAML08PL24_23N"
"patient.1.1.1.2"	"MPNAML08PL24_23P"
"patient.1.1.1.2"	"MPNAML08PL24_5D"
"patient.1.1.1.2"	"MPNAML08PL24_7B"
"patient.1.1.1.2"	"MPNAML08PL24_7J"
"patient.1.1.1.2"	"MPNAML08PL24_9G"
"patient.1.1.1.2"	"MPNAML08PL24_9H"
"patient.1.1.1.2"	"MPNAML08PL24_9M"
"patient.1.1.1.2"	"MPNAML08PL25_13D"
"patient.1.1.1.2"	"MPNAML08PL25_13G"
"patient.1.1.1.2"	"MPNAML08PL25_13O"
"patient.1.1.1.2"	"MPNAML08PL25_13P"
"patient.1.1.1.2"	"MPNAML08PL25_15C"
"patient.1.1.1.2"	"MPNAML08PL25_15E"
"patient.1.1.1.2"	"MPNAML08PL25_15F"
"patient.1.1.1.2"	"MPNAML08PL25_15I"
"patient.1.1.1.2"	"MPNAML08PL25_15M"
"patient.1.1.1.2"	"MPNAML08PL25_17C"
"patient.1.1.1.2"	"MPNAML08PL25_17J"
"patient.1.1.1.2"	"MPNAML08PL25_17N"
"patient.1.1.1.2"	"MPNAML08PL25_17O"
"patient.1.1.1.2"	"MPNAML08PL25_17P"
"patient.1.1.1.2"	"MPNAML08PL25_19A"
"patient.1.1.1.2"	"MPNAML08PL25_19H"
"patient.1.1.1.2"	"MPNAML08PL25_19K"
"patient.1.1.1.2"	"MPNAML08PL25_19N"
"patient.1.1.1.2"	"MPNAML08PL25_19O"
"patient.1.1.1.2"	"MPNAML08PL25_19P"
"patient.1.1.1.2"	"MPNAML08PL25_1E"
"patient.1.1.1.2"	"MPNAML08PL25_1I"
"patient.1.1.1.2"	"MPNAML08PL25_21C"
"patient.1.1.1.2"	"MPNAML08PL25_21D"
"patient.1.1.1.2"	"MPNAML08PL25_21H"
"patient.1.1.1.2"	"MPNAML08PL25_21J"
"patient.1.1.1.2"	"MPNAML08PL25_21K"
"patient.1.1.1.2"	"MPNAML08PL25_21M"
"patient.1.1.1.2"	"MPNAML08PL25_21N"
"patient.1.1.1.2"	"MPNAML08PL25_23F"
"patient.1.1.1.2"	"MPNAML08PL25_23I"
"patient.1.1.1.2"	"MPNAML08PL25_3C"
"patient.1.1.1.2"	"MPNAML08PL25_3K"
"patient.1.1.1.2"	"MPNAML08PL25_5I"
"patient.1.1.1.2"	"MPNAML08PL25_5J"
"patient.1.1.1.2"	"MPNAML08PL25_5L"
"patient.1.1.1.2"	"MPNAML08PL25_5P"
"patient.1.1.1.2"	"MPNAML08PL25_7I"
"patient.1.1.1.2"	"MPNAML08PL25_7K"
"patient.1.1.1.2"	"MPNAML08PL28_11C"
"patient.1.1.1.2"	"MPNAML08PL28_11K"
"patient.1.1.1.2"	"MPNAML08PL28_13A"
"patient.1.1.1.2"	"MPNAML08PL28_13E"
"patient.1.1.1.2"	"MPNAML08PL28_13I"
"patient.1.1.1.2"	"MPNAML08PL28_13M"
"patient.1.1.1.2"	"MPNAML08PL28_15M"
"patient.1.1.1.2"	"MPNAML08PL28_19A"
"patient.1.1.1.2"	"MPNAML08PL28_19G"
"patient.1.1.1.2"	"MPNAML08PL28_19P"
"patient.1.1.1.2"	"MPNAML08PL28_1E"
"patient.1.1.1.2"	"MPNAML08PL28_21N"
"patient.1.1.1.2"	"MPNAML08PL28_23A"
"patient.1.1.1.2"	"MPNAML08PL28_3G"
"patient.1.1.1.2"	"MPNAML08PL28_3K"
"patient.1.1.1.2"	"MPNAML08PL28_5A"
"patient.1.1.1.2"	"MPNAML08PL28_5C"
"patient.1.1.1.2"	"MPNAML08PL28_9I"
"patient.1.1.1.2"	"MPNAML08PL28_9K"
"patient.1.1.1.2"	"MPNAML08PL28_9M"
"patient.1.1.2.1"	"MPNAML08PL19_11E"
"patient.1.1.2.1"	"MPNAML08PL19_11K"
"patient.1.1.2.1"	"MPNAML08PL19_11M"
"patient.1.1.2.1"	"MPNAML08PL19_1M"
"patient.1.1.2.1"	"MPNAML08PL19_3N"
"patient.1.1.2.1"	"MPNAML08PL20_11A"
"patient.1.1.2.1"	"MPNAML08PL20_11C"
"patient.1.1.2.1"	"MPNAML08PL20_11E"
"patient.1.1.2.1"	"MPNAML08PL20_11G"
"patient.1.1.2.1"	"MPNAML08PL20_11I"
"patient.1.1.2.1"	"MPNAML08PL20_11J"
"patient.1.1.2.1"	"MPNAML08PL20_11K"
"patient.1.1.2.1"	"MPNAML08PL20_11L"
"patient.1.1.2.1"	"MPNAML08PL20_13A"
"patient.1.1.2.1"	"MPNAML08PL20_13C"
"patient.1.1.2.1"	"MPNAML08PL20_13F"
"patient.1.1.2.1"	"MPNAML08PL20_13G"
"patient.1.1.2.1"	"MPNAML08PL20_13H"
"patient.1.1.2.1"	"MPNAML08PL20_13I"
"patient.1.1.2.1"	"MPNAML08PL20_13J"
"patient.1.1.2.1"	"MPNAML08PL20_13K"
"patient.1.1.2.1"	"MPNAML08PL20_13N"
"patient.1.1.2.1"	"MPNAML08PL20_13O"
"patient.1.1.2.1"	"MPNAML08PL20_13P"
"patient.1.1.2.1"	"MPNAML08PL20_15A"
"patient.1.1.2.1"	"MPNAML08PL20_15E"
"patient.1.1.2.1"	"MPNAML08PL20_15F"
"patient.1.1.2.1"	"MPNAML08PL20_15G"
"patient.1.1.2.1"	"MPNAML08PL20_15H"
"patient.1.1.2.1"	"MPNAML08PL20_15I"
"patient.1.1.2.1"	"MPNAML08PL20_15J"
"patient.1.1.2.1"	"MPNAML08PL20_15L"
"patient.1.1.2.1"	"MPNAML08PL20_15M"
"patient.1.1.2.1"	"MPNAML08PL20_15O"
"patient.1.1.2.1"	"MPNAML08PL20_15P"
"patient.1.1.2.1"	"MPNAML08PL20_17C"
"patient.1.1.2.1"	"MPNAML08PL20_17E"
"patient.1.1.2.1"	"MPNAML08PL20_17I"
"patient.1.1.2.1"	"MPNAML08PL20_17J"
"patient.1.1.2.1"	"MPNAML08PL20_17K"
"patient.1.1.2.1"	"MPNAML08PL20_17L"
"patient.1.1.2.1"	"MPNAML08PL20_19A"
"patient.1.1.2.1"	"MPNAML08PL20_19G"
"patient.1.1.2.1"	"MPNAML08PL20_19I"
"patient.1.1.2.1"	"MPNAML08PL20_19J"
"patient.1.1.2.1"	"MPNAML08PL20_19K"
"patient.1.1.2.1"	"MPNAML08PL20_19M"
"patient.1.1.2.1"	"MPNAML08PL20_19N"
"patient.1.1.2.1"	"MPNAML08PL20_1C"
"patient.1.1.2.1"	"MPNAML08PL20_1E"
"patient.1.1.2.1"	"MPNAML08PL20_1G"
"patient.1.1.2.1"	"MPNAML08PL20_1I"
"patient.1.1.2.1"	"MPNAML08PL20_1K"
"patient.1.1.2.1"	"MPNAML08PL20_1L"
"patient.1.1.2.1"	"MPNAML08PL20_1M"
"patient.1.1.2.1"	"MPNAML08PL20_1O"
"patient.1.1.2.1"	"MPNAML08PL20_1P"
"patient.1.1.2.1"	"MPNAML08PL20_21A"
"patient.1.1.2.1"	"MPNAML08PL20_21E"
"patient.1.1.2.1"	"MPNAML08PL20_21G"
"patient.1.1.2.1"	"MPNAML08PL20_21L"
"patient.1.1.2.1"	"MPNAML08PL20_21N"
"patient.1.1.2.1"	"MPNAML08PL20_21O"
"patient.1.1.2.1"	"MPNAML08PL20_21P"
"patient.1.1.2.1"	"MPNAML08PL20_23A"
"patient.1.1.2.1"	"MPNAML08PL20_23C"
"patient.1.1.2.1"	"MPNAML08PL20_23E"
"patient.1.1.2.1"	"MPNAML08PL20_23J"
"patient.1.1.2.1"	"MPNAML08PL20_23K"
"patient.1.1.2.1"	"MPNAML08PL20_23L"
"patient.1.1.2.1"	"MPNAML08PL20_23N"
"patient.1.1.2.1"	"MPNAML08PL20_23O"
"patient.1.1.2.1"	"MPNAML08PL20_3G"
"patient.1.1.2.1"	"MPNAML08PL20_3I"
"patient.1.1.2.1"	"MPNAML08PL20_3M"
"patient.1.1.2.1"	"MPNAML08PL20_3O"
"patient.1.1.2.1"	"MPNAML08PL20_3P"
"patient.1.1.2.1"	"MPNAML08PL20_7D"
"patient.1.1.2.1"	"MPNAML08PL20_7E"
"patient.1.1.2.1"	"MPNAML08PL20_7H"
"patient.1.1.2.1"	"MPNAML08PL20_7K"
"patient.1.1.2.1"	"MPNAML08PL20_7L"
"patient.1.1.2.1"	"MPNAML08PL20_7N"
"patient.1.1.2.1"	"MPNAML08PL20_7P"
"patient.1.1.2.1"	"MPNAML08PL20_9C"
"patient.1.1.2.1"	"MPNAML08PL20_9E"
"patient.1.1.2.1"	"MPNAML08PL20_9G"
"patient.1.1.2.1"	"MPNAML08PL20_9I"
"patient.1.1.2.1"	"MPNAML08PL20_9J"
"patient.1.1.2.1"	"MPNAML08PL20_9K"
"patient.1.1.2.1"	"MPNAML08PL20_9L"
"patient.1.1.2.1"	"MPNAML08PL20_9M"
"patient.1.1.2.1"	"MPNAML08PL20_9P"
"patient.1.1.2.1"	"MPNAML08PL21_11K"
"patient.1.1.2.1"	"MPNAML08PL21_11L"
"patient.1.1.2.1"	"MPNAML08PL21_15C"
"patient.1.1.2.1"	"MPNAML08PL21_15I"
"patient.1.1.2.1"	"MPNAML08PL21_15O"
"patient.1.1.2.1"	"MPNAML08PL21_17I"
"patient.1.1.2.1"	"MPNAML08PL21_17L"
"patient.1.1.2.1"	"MPNAML08PL21_1J"
"patient.1.1.2.1"	"MPNAML08PL21_23P"
"patient.1.1.2.1"	"MPNAML08PL21_3C"
"patient.1.1.2.1"	"MPNAML08PL21_3I"
"patient.1.1.2.1"	"MPNAML08PL21_9N"
"patient.1.1.2.1"	"MPNAML08PL22_13A"
"patient.1.1.2.1"	"MPNAML08PL22_13C"
"patient.1.1.2.1"	"MPNAML08PL22_13D"
"patient.1.1.2.1"	"MPNAML08PL22_13F"
"patient.1.1.2.1"	"MPNAML08PL22_13H"
"patient.1.1.2.1"	"MPNAML08PL22_13J"
"patient.1.1.2.1"	"MPNAML08PL22_13K"
"patient.1.1.2.1"	"MPNAML08PL22_13P"
"patient.1.1.2.1"	"MPNAML08PL22_15A"
"patient.1.1.2.1"	"MPNAML08PL22_15F"
"patient.1.1.2.1"	"MPNAML08PL22_15G"
"patient.1.1.2.1"	"MPNAML08PL22_15J"
"patient.1.1.2.1"	"MPNAML08PL22_15L"
"patient.1.1.2.1"	"MPNAML08PL22_17C"
"patient.1.1.2.1"	"MPNAML08PL22_17E"
"patient.1.1.2.1"	"MPNAML08PL22_17J"
"patient.1.1.2.1"	"MPNAML08PL22_17O"
"patient.1.1.2.1"	"MPNAML08PL22_17P"
"patient.1.1.2.1"	"MPNAML08PL22_19C"
"patient.1.1.2.1"	"MPNAML08PL22_19I"
"patient.1.1.2.1"	"MPNAML08PL22_19J"
"patient.1.1.2.1"	"MPNAML08PL22_19L"
"patient.1.1.2.1"	"MPNAML08PL22_19N"
"patient.1.1.2.1"	"MPNAML08PL22_19O"
"patient.1.1.2.1"	"MPNAML08PL22_19P"
"patient.1.1.2.1"	"MPNAML08PL22_1C"
"patient.1.1.2.1"	"MPNAML08PL22_1J"
"patient.1.1.2.1"	"MPNAML08PL22_1K"
"patient.1.1.2.1"	"MPNAML08PL22_1O"
"patient.1.1.2.1"	"MPNAML08PL22_21A"
"patient.1.1.2.1"	"MPNAML08PL22_3A"
"patient.1.1.2.1"	"MPNAML08PL22_3E"
"patient.1.1.2.1"	"MPNAML08PL22_3L"
"patient.1.1.2.1"	"MPNAML08PL22_5C"
"patient.1.1.2.1"	"MPNAML08PL22_5G"
"patient.1.1.2.1"	"MPNAML08PL22_5I"
"patient.1.1.2.1"	"MPNAML08PL22_5K"
"patient.1.1.2.1"	"MPNAML08PL22_5L"
"patient.1.1.2.1"	"MPNAML08PL22_5M"
"patient.1.1.2.1"	"MPNAML08PL22_5N"
"patient.1.1.2.1"	"MPNAML08PL22_5O"
"patient.1.1.2.1"	"MPNAML08PL22_5P"
"patient.1.1.2.1"	"MPNAML08PL22_7A"
"patient.1.1.2.1"	"MPNAML08PL22_7C"
"patient.1.1.2.1"	"MPNAML08PL22_7G"
"patient.1.1.2.1"	"MPNAML08PL22_7L"
"patient.1.1.2.1"	"MPNAML08PL22_7M"
"patient.1.1.2.1"	"MPNAML08PL22_7P"
"patient.1.1.2.1"	"MPNAML08PL22_9A"
"patient.1.1.2.1"	"MPNAML08PL22_9C"
"patient.1.1.2.1"	"MPNAML08PL22_9D"
"patient.1.1.2.1"	"MPNAML08PL22_9E"
"patient.1.1.2.1"	"MPNAML08PL22_9F"
"patient.1.1.2.1"	"MPNAML08PL22_9H"
"patient.1.1.2.1"	"MPNAML08PL22_9I"
"patient.1.1.2.1"	"MPNAML08PL22_9K"
"patient.1.1.2.1"	"MPNAML08PL22_9L"
"patient.1.1.2.1"	"MPNAML08PL22_9O"
"patient.1.1.2.1"	"MPNAML08PL22_9P"
"patient.1.1.2.1"	"MPNAML08PL23_11E"
"patient.1.1.2.1"	"MPNAML08PL23_11J"
"patient.1.1.2.1"	"MPNAML08PL23_13E"
"patient.1.1.2.1"	"MPNAML08PL23_13G"
"patient.1.1.2.1"	"MPNAML08PL23_15E"
"patient.1.1.2.1"	"MPNAML08PL23_15I"
"patient.1.1.2.1"	"MPNAML08PL23_17I"
"patient.1.1.2.1"	"MPNAML08PL23_17O"
"patient.1.1.2.1"	"MPNAML08PL23_19C"
"patient.1.1.2.1"	"MPNAML08PL23_19P"
"patient.1.1.2.1"	"MPNAML08PL23_21B"
"patient.1.1.2.1"	"MPNAML08PL23_23A"
"patient.1.1.2.1"	"MPNAML08PL23_23G"
